Experiment ID,Experiment type,Dataset,Data classes,MNIST_all_digits,Clients per cluster,Datapoints per client,Algorithm,MA vs GA,Total rounds,initial_model_parameters,first_round_client_to_cluster_assignment,Linear Delta,Model,Mix Mode,Exp Selector,Ablation_Param,K_is_unknown,Upper bound on K,Early stopping,Participation Rate
1414,Clustering accuracy8,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",5,500,"centralized, local, vanillaFL",MA,100,different,random,,CNN,zipped_with_overlap,exp203,,,,,
1420,Clustering accuracy8,FMNIST,10,"[0,1,2,3,4,5,6,7,8,9]",5,500,"CLoVE, IFCA",MA,100,different,random,,CNN,zipped_with_overlap,exp203,,,,,
1424,Clustering accuracy8,FMNIST,10,"[0,1,2,3,4,5,6,7,8,9]",5,500,"centralized, local, vanillaFL",MA,100,different,random,,CNN,zipped_with_overlap,exp203,,,,,
1500,Clustering accuracy8,CIFAR10,10,,3,500,"CLoVE, IFCA",MA,100,different,random,,CNN,zipped_with_overlap,exp501,,,,,
1504,Clustering accuracy8,CIFAR10,10,,3,500,"centralized, local, vanillaFL",MA,100,different,random,,CNN,zipped_with_overlap,exp501,,,,,
1510,Clustering accuracy8,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",5,500,"CLoVE, IFCA",MA,100,different,random,,CNN,zipped_with_overlap,exp501,,,,,
1514,Clustering accuracy8,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",5,500,"centralized, local, vanillaFL",MA,100,different,random,,CNN,zipped_with_overlap,exp501,,,,,
1520,Clustering accuracy8,FMNIST,10,"[0,1,2,3,4,5,6,7,8,9]",5,500,"CLoVE, IFCA",MA,100,different,random,,CNN,zipped_with_overlap,exp501,,,,,
1524,Clustering accuracy8,FMNIST,10,"[0,1,2,3,4,5,6,7,8,9]",5,500,"centralized, local, vanillaFL",MA,100,different,random,,CNN,zipped_with_overlap,exp501,,,,,
2000,Clustering accuracy8,AmazonReview,4,,5,1000,"CLoVE, IFCA",MA,100,different,random,,AmazonMLP,no_mixture,expAmazon,,,,,
2004,Clustering accuracy8,AmazonReview,4,,5,1000,"centralized, local, vanillaFL",MA,100,different,random,,AmazonMLP,no_mixture,expAmazon,,,,,
3000,Clustering accuracy8,AG_news,4,,5,100,"CLoVE, IFCA",MA,100,different,random,,TextCNN,zipped_with_overlap,exp401,,,,,
3004,Clustering accuracy8,AG_news,4,,5,100,"centralized, local, vanillaFL",MA,100,different,random,,TextCNN,zipped_with_overlap,exp401,,,,,
1600,Clustering accuracy8,CIFAR10,10,,3,500,"CLoVE, IFCA",MA,100,different,evaluation_based,,CNN,zipped_with_overlap,exp204,,,,,
1604,Clustering accuracy8,CIFAR10,10,,3,500,"centralized, local, vanillaFL",MA,100,different,random,,CNN,zipped_with_overlap,exp204,,,,,
1610,Clustering accuracy8,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",5,500,"CLoVE, IFCA",MA,100,different,random,,CNN,zipped_with_overlap,exp204,,,,,
1614,Clustering accuracy8,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",5,500,"centralized, local, vanillaFL",MA,100,different,random,,CNN,zipped_with_overlap,exp204,,,,,
1620,Clustering accuracy8,FMNIST,10,"[0,1,2,3,4,5,6,7,8,9]",5,500,"CLoVE, IFCA",MA,100,different,random,,CNN,zipped_with_overlap,exp204,,,,,
1624,Clustering accuracy8,FMNIST,10,"[0,1,2,3,4,5,6,7,8,9]",5,500,"centralized, local, vanillaFL",MA,100,different,random,,CNN,zipped_with_overlap,exp204,,,,,
2101,Scaling with clients,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",10,200,"CLoVE, IFCA",MA,100,different,evaluation_based,,AE,,,,,,,
2102,Scaling with clients,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",20,200,"CLoVE, IFCA",MA,100,different,evaluation_based,,AE,,,,,,,
2103,Scaling with clients,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",50,200,"CLoVE, IFCA",MA,100,different,evaluation_based,,AE,,,,,,,
2104,Scaling with clients,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",100,100,"CLoVE, IFCA",MA,100,different,evaluation_based,,AE,,,,,,,
4000,Variable K,FEMNIST,100,,1,1000,CLoVE,MA,100,different,random,,CNN,no_mixture,expFEMNIST,,TRUE,20,,
5000,Partial participation,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",25,100,CLoVE,MA,100,different,random,,CNN,zipped_with_overlap,exp701,,,,,1
5001,Partial participation,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",25,100,CLoVE,MA,100,different,random,,CNN,zipped_with_overlap,exp701,,,,,0.9
5002,Partial participation,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",25,100,CLoVE,MA,100,different,random,,CNN,zipped_with_overlap,exp701,,,,,0.75
5003,Partial participation,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",25,100,CLoVE,MA,100,different,random,,CNN,zipped_with_overlap,exp701,,,,,0.5
5004,Partial participation,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",25,100,CLoVE,MA,100,different,random,,CNN,zipped_with_overlap,exp701,,,,,0.25
5005,Partial participation,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",25,100,CLoVE,MA,100,different,random,,CNN,zipped_with_overlap,exp701,,,,,0.1
6000,Early stopping,CIFAR10,10,,3,1000,CLoVE,MA,100,different,random,,CNN,zipped_with_overlap,exp111,,,,TRUE,
6001,Early stopping,CIFAR10,10,,5,500,CLoVE,MA,100,different,random,,CNN,zipped_with_overlap,exp301,,,,TRUE,
6002,Early stopping,CIFAR10,10,,3,500,CLoVE,MA,100,different,random,,CNN,zipped_with_overlap,exp201,,,,TRUE,
6003,Early stopping,CIFAR10,10,,3,500,CLoVE,MA,100,different,random,,CNN,zipped_with_overlap,exp203,,,,TRUE,
7001,Scaling with clients,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",10,200,"CLoVE, IFCA",MA,100,different,random,,CNN,zipped_with_overlap,exp203,,,,,
7002,Scaling with clients,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",20,200,"CLoVE, IFCA",MA,100,different,random,,CNN,zipped_with_overlap,exp203,,,,,
